n features,dimensions,c,iterations
100,2,0.2,57
100,2,0.2,3
100,2,0.2,72
100,2,0.2,21
100,2,0.2,10000
100,2,0.2,6
100,2,0.2,29
100,2,0.2,188
100,2,0.2,1165
100,2,0.2,7
100,2,0.2,261
100,2,0.2,29
100,2,0.2,21
100,2,0.2,6
100,2,0.2,46
100,2,0.2,7
100,2,0.2,8
100,2,0.2,753
100,2,0.2,54
100,2,0.2,2
100,2,0.2,60
100,2,0.2,9
100,2,0.2,34
100,2,0.2,6
100,2,0.2,42
100,2,0.2,3
100,2,0.2,4
100,2,0.2,72
100,2,0.2,2298
100,2,0.2,108
100,2,0.2,601
100,2,0.2,3
100,2,0.2,4
100,2,0.2,92
100,2,0.2,2
100,2,0.2,41
100,2,0.2,101
100,2,0.2,105
100,2,0.2,28
100,2,0.2,18
100,2,0.2,336
100,2,0.2,10
100,2,0.2,2
100,2,0.2,302
100,2,0.2,143
100,2,0.2,1374
100,2,0.2,16
100,2,0.2,1743
100,2,0.2,50
100,2,0.2,33
100,2,0.2,11
100,2,0.2,7
100,2,0.2,5
100,2,0.2,9
100,2,0.2,2
100,2,0.2,33
100,2,0.2,318
100,2,0.2,6
100,2,0.2,36
100,2,0.2,429
100,2,0.2,1162
100,2,0.2,37
100,2,0.2,2
100,2,0.2,6812
100,2,0.2,2
100,2,0.2,220
100,2,0.2,137
100,2,0.2,3
100,2,0.2,58
100,2,0.2,2
100,2,0.2,12
100,2,0.2,53
100,2,0.2,14
100,2,0.2,343
100,2,0.2,81
100,2,0.2,78
100,2,0.2,108
100,2,0.2,361
100,2,0.2,4
100,2,0.2,3
100,2,0.2,3
100,2,0.2,2
100,2,0.2,42
100,2,0.2,21
100,2,0.2,28
100,2,0.2,530
100,2,0.2,527
100,2,0.2,53
100,2,0.2,17
100,2,0.2,181
100,2,0.2,3
100,2,0.2,106
100,2,0.2,3
100,2,0.2,145
100,2,0.2,10
100,2,0.2,13
100,2,0.2,111
100,2,0.2,251
100,2,0.2,85
100,2,0.2,9
100,2,0.2,15
100,2,0.2,8
100,2,0.2,10
100,2,0.2,113
100,2,0.2,10
100,2,0.2,16
100,2,0.2,86
100,2,0.2,29
100,2,0.2,3
100,2,0.2,100
100,2,0.2,31
100,2,0.2,713
100,2,0.2,85
100,2,0.2,38
100,2,0.2,434
100,2,0.2,12
100,2,0.2,2
100,2,0.2,28
100,2,0.2,26
100,2,0.2,27
100,2,0.2,66
100,2,0.2,31
100,2,0.2,2
100,2,0.2,3
100,2,0.2,52
100,2,0.2,3
100,2,0.2,78
100,2,0.2,4
100,2,0.2,8
100,2,0.2,36
100,2,0.2,40
100,2,0.2,253
100,2,0.2,2
100,2,0.2,26
100,2,0.2,4
100,2,0.2,85
100,2,0.2,65
100,2,0.2,139
100,2,0.2,613
100,2,0.2,30
100,2,0.2,29
100,2,0.2,85
100,2,0.2,6
100,2,0.2,23
100,2,0.2,140
100,2,0.2,14
100,2,0.2,6
100,2,0.2,88
100,2,0.2,10
100,2,0.2,49
100,2,0.2,2
100,2,0.2,10
100,2,0.2,210
100,2,0.2,145
100,2,0.2,8
100,2,0.2,93
100,2,0.2,32
100,2,0.2,16
100,2,0.2,3
100,2,0.2,17
100,2,0.2,3120
100,2,0.2,6
100,2,0.2,126
100,2,0.2,5
100,2,0.2,69
100,2,0.2,21
100,2,0.2,10
100,2,0.2,13
100,2,0.2,106
100,2,0.2,30
100,2,0.2,24
100,2,0.2,17
100,2,0.2,2
100,2,0.2,38
100,2,0.2,42
100,2,0.2,57
100,2,0.2,10
100,2,0.2,6
100,2,0.2,2
100,2,0.2,3
100,2,0.2,518
100,2,0.2,3
100,2,0.2,131
100,2,0.2,2
100,2,0.2,265
100,2,0.2,46
100,2,0.2,70
100,2,0.2,18
100,2,0.2,12
100,2,0.2,2
100,2,0.2,1835
100,2,0.2,340
100,2,0.2,70
100,2,0.2,4
100,2,0.2,43
100,2,0.2,50
100,2,0.2,61
100,2,0.2,360
100,2,0.2,594
100,2,0.2,27
100,2,0.2,2
100,2,0.2,27
